,strctid,gsq_foot,x,y,numprec
0,S0021177,1349.4979999999998,-94.50026,37.0984,1.0
1,S0023095,1060.225,-94.4988,37.10039,3.0
2,S0021178,1459.956,-94.50053,37.09832,1.0
3,S0023093,1283.543,-94.49811,37.09984,1.0
4,S0023044,1113.373,-94.49955,37.09924,3.0
5,S0021648,5475.647,-94.49927,37.09857,6.0
6,S0006205,2063.948,-94.50812,37.09998,5.0
7,S0020841,1225.177,-94.50734,37.09522,2.0
8,S0021128,1110.028,-94.50658,37.09593,3.0
9,S0023031,1833.942,-94.50809,37.09916,1.0
10,S0021287,2982.607,-94.50616,37.09698,4.0
11,S0023032,1462.06,-94.508,37.09936,2.0
12,S0020999,2136.841,-94.5078,37.09898,2.0
13,S0023030,3860.188,-94.50788,37.09895,2.0
14,S0021185,1311.378,-94.50771,37.09853,2.0
15,S0023045,1571.0379999999998,-94.50803,37.09967,1.0
16,S0023047,1290.378,-94.5081,37.09996,1.0
17,S0021285,382.9634,-94.50618,37.0973,2.0
18,S0021286,1301.901,-94.50615,37.09714,1.0
19,S0021184,1860.949,-94.50792,37.09521,3.0
20,S0021124,1726.382,-94.50774,37.09494,2.0
21,S0023046,979.3995,-94.50809,37.09986,2.0
22,S0020840,1613.078,-94.50733,37.09507,2.0
23,S0021126,1053.925,-94.50689,37.0959,2.0
24,S0020803,898.4728,-94.50465,37.09431,1.0
25,S0021109,859.2092,-94.50418,37.09431,0.0
26,S0021052,1137.269,-94.50335,37.09467,0.0
27,S0021137,1830.422,-94.50566,37.09555,3.0
28,S0021136,863.7942,-94.50571,37.09535,2.0
29,S0021137,1830.422,-94.50566,37.09555,2.0
30,S0021136,863.7942,-94.50571,37.09535,3.0
31,S0021132,3156.258,-94.50565,37.09514,1.0
32,S0021147,1488.456,-94.50517,37.09557,1.0
33,S0020809,1614.688,-94.50676,37.09528,3.0
34,S0021289,2014.908,-94.50665,37.09561,3.0
35,S0020808,911.8779,-94.50688,37.09517,2.0
36,S0021144,1763.161,-94.50614,37.09552,0.0
37,S0020806,913.7771,-94.50687,37.09494,0.0
38,S0021142,1047.784,-94.5061,37.09519,0.0
39,S0020807,1016.227,-94.5066,37.09492,0.0
40,S0021131,938.5604,-94.50578,37.09459,5.0
41,S0021112,1385.67,-94.50552,37.09434,1.0
42,S0021113,1621.054,-94.50531,37.09433,2.0
43,S0021130,728.8264,-94.50578,37.09431,4.0
44,S0021131,938.5604,-94.50578,37.09459,0.0
45,S0023039,3310.138,-94.50959,37.10398,412.0
46,S0021356,829.7589999999999,-94.50092,37.09468,3.0
47,S0021356,829.7589999999999,-94.50092,37.09468,0.0
48,S0030773,2775.847,-94.50723,37.09068,2.0
49,S0020634,1615.954,-94.50597,37.0897,1.0
