,FIPS,INTPTLONG,INTPTLAT,RPL_THEMES
1,40109106402,-97.557432,35.5432471,0.0
2,40109108529,-97.6328452,35.5893034,0.001
3,40143004101,-95.9491651,36.1115529,0.0019
4,40109100300,-97.5259305,35.5123353,0.0029
5,40109108106,-97.4383426,35.703497,0.0038
6,40109108101,-97.3927866,35.5735152,0.0048
7,40109100600,-97.5172237,35.5040825,0.0057
8,40109108107,-97.4396924,35.6746345,0.0067
9,40109103800,-97.5032241,35.4628587,0.0077
10,40143003600,-95.9492851,36.1369051,0.0086
11,40109108520,-97.5762809,35.6017111,0.0096
12,40109108403,-97.5631167,35.5729922,0.0105
13,40143006708,-95.9462286,35.9779155,0.0115
14,40143007638,-95.9335119,36.0022089,0.0125
15,40143007632,-95.9132023,36.0391263,0.0134
16,40109101700,-97.5210075,35.486517,0.0144
17,40143003300,-95.9665051,36.1373853,0.0153
18,40131050406,-95.784504,36.2570748,0.0163
19,40143007637,-95.9132841,36.0028478,0.0172
20,40143007635,-95.877556,36.0028678,0.0182
21,40109103601,-97.5198724,35.4678957,0.0192
22,40017301008,-97.6878711,35.4364104,0.0201
23,40109106401,-97.539145,35.5441365,0.0211
24,40109108507,-97.5707666,35.5578529,0.022
25,40143004302,-95.9669018,36.111531,0.023
26,40143003700,-95.9314448,36.1405578,0.0239
27,40143003500,-95.9492814,36.1441689,0.0249
28,40147001200,-95.8879066,36.7209356,0.0259
29,40109108512,-97.6117635,35.6893416,0.0268
30,40109108109,-97.4413399,35.6252569,0.0278
31,40109108524,-97.667305,35.5981947,0.0287
32,40131050405,-95.7357636,36.2788022,0.0297
33,40131050603,-95.6179703,36.2352204,0.0307
34,40027202008,-97.4623894,35.3554782,0.0316
35,40143007508,-95.8419612,36.0246446,0.0326
36,40109108206,-97.4706971,35.7014867,0.0335
37,40027201509,-97.4645976,35.2657002,0.0345
38,40143004500,-95.9846747,36.1251266,0.0354
39,40109108218,-97.5449184,35.6457718,0.0364
40,40017301001,-97.698899,35.4679055,0.0374
41,40143007523,-95.8062707,35.9811025,0.0383
42,40017300802,-97.7295179,35.5870891,0.0393
43,40027201405,-97.3890174,35.2215068,0.0402
44,40143007634,-95.9305727,36.0224313,0.0412
45,40143007633,-95.9124743,36.0241274,0.0421
46,40143006902,-95.9133011,36.0826047,0.0431
47,40109106708,-97.6529483,35.5372932,0.0441
48,40109108402,-97.5713844,35.5731574,0.045
49,40131050404,-95.7942526,36.3002516,0.046
50,40027202107,-97.4321638,35.3272132,0.0469
51,40017301300,-97.7858473,35.4574749,0.0479
52,40027202205,-97.5215059,35.3084214,0.0489
53,40145030508,-95.7170119,36.0462857,0.0498
54,40017300902,-97.7296584,35.5012333,0.0508
55,40143004301,-95.9669367,36.1260524,0.0517
56,40037020103,-96.0524063,36.0258134,0.0527
57,40027201700,-97.6230996,35.355958,0.0536
58,40109108703,-97.2772843,35.4426477,0.0546
59,40143004200,-95.9496595,36.1255753,0.0556
60,40131050602,-95.700973,36.2318263,0.0565
61,40031002401,-98.5679737,34.6862034,0.0575
62,40109108506,-97.5755377,35.5866658,0.0584
63,40145030509,-95.6901946,36.0462733,0.0594
64,40017300201,-97.8262754,35.6761348,0.0603
65,40109101800,-97.5255372,35.4896278,0.0613
66,40109106609,-97.5707381,35.5408971,0.0623
67,40109108701,-97.3355374,35.406273,0.0632
68,40109109201,-97.3615003,35.6662595,0.0642
69,40109108215,-97.5182903,35.6529058,0.0651
70,40027202301,-97.3399463,35.3114343,0.0661
71,40027201510,-97.5225583,35.254912,0.067
72,40051000903,-97.7179311,35.2756713,0.068
73,40143005100,-95.9490614,36.0973889,0.069
74,40109108709,-97.1837983,35.4040836,0.0699
75,40145030511,-95.7297931,36.0038722,0.0709
76,40143007515,-95.7794877,35.9883832,0.0718
77,40027201611,-97.5235602,35.3237456,0.0728
78,40143007520,-95.8598592,36.0028827,0.0738
79,40027202203,-97.4781107,35.3035882,0.0747
80,40027201801,-97.5746485,35.3573827,0.0757
81,40109108316,-97.5411632,35.6309896,0.0766
82,40109108213,-97.5196975,35.7078492,0.0776
83,40017301408,-97.7544128,35.3564975,0.0785
84,40131050403,-95.7601504,36.3509352,0.0795
85,40109102700,-97.4960064,35.4793251,0.0805
86,40083600800,-97.5716577,35.809639,0.0814
87,40113940009,-96.1411654,36.3479044,0.0824
88,40109108110,-97.4487392,35.5914426,0.0833
89,40027202104,-97.4833318,35.3270758,0.0843
90,40109108519,-97.593949,35.595434,0.0852
91,40145030510,-95.6992663,36.0245466,0.0862
92,40143007518,-95.8420761,36.0391319,0.0872
93,40109101600,-97.5139474,35.485536,0.0881
94,40109108708,-97.1897159,35.4467691,0.0891
95,40109108318,-97.5174667,35.6148064,0.09
96,40027201404,-97.3650452,35.1832537,0.091
97,40109108216,-97.5050058,35.6602127,0.092
98,40145030502,-95.7438199,36.0391452,0.0929
99,40109108511,-97.6144825,35.6308359,0.0939
100,40143007631,-95.9310707,36.0391239,0.0948
101,40073958400,-97.899856,35.775247,0.0958
102,40087400400,-97.0992007,34.8924346,0.0967
103,40143007613,-95.9310671,36.0681062,0.0977
104,40131050304,-95.6371256,36.3613436,0.0987
