Budget :,15000000.0,Tornado Length:,5.0
Best Bound:,12143
Best Objective:,12666
Gap:,0.04
CCG Run time:,4921.13
CCG Iteration:,3
Subproblem Run time:,4920.58
Number of Subproblem Callbacks:,78
Subproblem Callbacks Run Time:,20.27
Number of Uncertainty Set Check Call:,33
Uncertainty Set Check Run Time:,9.29
Head of worst tornado:,-94.556,37.057
Tail of worst tornado:,-94.473,37.087

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recovery Cost,Dislocation
105,-94.584,37.071,56,Do_nothing,0,NO,0,0,
19,-94.574,37.059,361,Do_nothing,0,NO,0,0,
150,-94.571,37.062,393,Do_nothing,0,NO,0,0,
61,-94.569,37.071,260,Do_nothing,0,NO,0,0,
109,-94.566,37.096,96,Do_nothing,0,NO,0,0,
126,-94.56,37.06,107,R3,75275,YES,0,87,
137,-94.558,37.045,43,Do_nothing,0,NO,0,0,
31,-94.558,37.052,366,R3,189129,YES,0,298,
1,-94.556,37.066,379,R2,98122,NO,0,0,
51,-94.554,37.071,251,Do_nothing,0,NO,0,0,
39,-94.552,37.059,334,R3,493551,YES,0,272,
81,-94.552,37.076,381,Do_nothing,0,NO,0,0,
147,-94.552,37.097,120,Do_nothing,0,NO,0,0,
44,-94.549,37.093,407,Do_nothing,0,NO,0,0,
97,-94.548,37.066,478,R3,284041,YES,0,389,
71,-94.544,37.059,547,R3,222949,YES,0,445,
134,-94.544,37.089,344,Do_nothing,0,NO,0,0,
11,-94.541,37.076,378,Do_nothing,0,NO,0,0,
69,-94.541,37.082,638,Do_nothing,0,NO,0,0,
12,-94.54,37.092,503,Do_nothing,0,NO,0,0,
87,-94.539,37.064,752,R3,145540,YES,0,612,
123,-94.537,37.043,130,Do_nothing,0,NO,0,0,
148,-94.537,37.068,298,R3,132194,YES,2674315,187,
41,-94.536,37.065,319,R3,378891,YES,0,260,
106,-94.532,37.103,50,Do_nothing,0,NO,0,0,
34,-94.532,37.047,204,Do_nothing,0,NO,0,0,
114,-94.532,37.089,328,Do_nothing,0,NO,0,0,
47,-94.531,37.094,275,Do_nothing,0,NO,0,0,
75,-94.53,37.07,559,R3,188867,YES,0,455,
119,-94.529,37.065,398,R3,140748,YES,0,324,
28,-94.528,37.084,548,Do_nothing,0,NO,0,0,
93,-94.527,37.114,49,Do_nothing,0,NO,0,0,
59,-94.526,37.078,181,Do_nothing,0,NO,0,0,
90,-94.524,37.073,783,R3,253769,YES,0,637,
95,-94.524,37.063,698,R3,280867,YES,0,568,
3,-94.524,37.068,452,R3,133286,YES,0,368,
82,-94.523,37.094,480,Do_nothing,0,NO,0,0,
72,-94.523,37.081,510,Do_nothing,0,NO,0,0,
46,-94.523,37.088,507,Do_nothing,0,NO,0,0,
33,-94.523,37.104,288,Do_nothing,0,NO,0,0,
116,-94.521,37.054,336,Do_nothing,0,NO,0,0,
13,-94.52,37.076,363,R3,181408,YES,0,295,
104,-94.52,37.1,355,Do_nothing,0,NO,0,0,
130,-94.52,37.09,495,Do_nothing,0,NO,0,0,
139,-94.519,37.084,339,Do_nothing,0,NO,0,0,
36,-94.518,37.067,860,R3,508886,YES,0,700,
25,-94.518,37.043,276,Do_nothing,0,NO,0,0,
64,-94.518,37.05,463,Do_nothing,0,NO,0,0,
110,-94.517,37.073,621,R3,306476,YES,0,505,
10,-94.517,37.059,509,Do_nothing,0,NO,0,0,
7,-94.517,37.094,698,Do_nothing,0,NO,0,0,
80,-94.515,37.089,547,Do_nothing,0,NO,0,0,
124,-94.515,37.052,605,Do_nothing,0,NO,0,0,
127,-94.515,37.097,507,Do_nothing,0,NO,0,0,
40,-94.513,37.063,543,R3,183121,NO,0,0,
103,-94.512,37.067,503,R3,191334,YES,0,409,
