Budget :,15000000.0,Tornado Length:,5.0
Best Bound:,15093
Best Objective:,15093
Gap:,0.0
CCG Run time:,63.82
CCG Iteration:,2
Subproblem Run time:,63.64
Number of Subproblem Callbacks:,40
Subproblem Callbacks Run Time:,3.6
Number of Uncertainty Set Check Call:,7
Uncertainty Set Check Run Time:,0.44
Head of worst tornado:,-94.567,37.06
Tail of worst tornado:,-94.479,37.078

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recovery Cost,Dislocation
32,-94.574,37.061,810,R1,184945,YES,0,803,
70,-94.569,37.071,260,Do_nothing,0,NO,0,0,
5,-94.559,37.061,136,R3,95089,YES,0,111,
85,-94.558,37.052,366,R1,83838,NO,0,0,
71,-94.558,37.045,43,R1,19605,NO,0,0,
92,-94.555,37.068,531,R1,112508,YES,0,526,
38,-94.552,37.076,451,R1,158010,NO,0,0,
21,-94.552,37.058,436,R1,227840,YES,0,432,
41,-94.55,37.094,623,R1,134812,NO,0,0,
56,-94.548,37.066,478,R1,125910,YES,0,474,
80,-94.543,37.06,964,Do_nothing,0,YES,0,955,
62,-94.542,37.083,526,R3,217364,NO,0,0,
20,-94.541,37.076,592,R1,274315,NO,0,0,
10,-94.541,37.091,745,R1,96147,NO,0,0,
55,-94.537,37.067,697,R1,141199,YES,0,691,
36,-94.535,37.044,277,R3,203487,NO,0,0,
44,-94.532,37.103,50,Do_nothing,0,NO,0,0,
48,-94.531,37.093,447,Do_nothing,0,NO,0,0,
8,-94.53,37.067,663,R2,271965,YES,0,580,
15,-94.528,37.085,712,R1,108443,NO,0,0,
61,-94.526,37.112,57,Do_nothing,0,NO,0,0,
78,-94.526,37.072,1014,R1,139534,YES,0,1005,
34,-94.525,37.064,1038,Do_nothing,0,YES,0,1029,
100,-94.524,37.079,485,R2,96246,NO,0,0,
90,-94.522,37.089,737,R1,182173,NO,0,0,
64,-94.521,37.102,540,R2,318395,NO,0,0,
79,-94.521,37.053,642,R3,190738,NO,0,0,
1,-94.521,37.094,708,R2,131021,NO,0,0,
22,-94.521,37.075,470,R3,194022,YES,0,382,
31,-94.52,37.084,620,R2,187743,NO,0,0,
54,-94.52,37.068,801,R2,292181,YES,0,701,
82,-94.518,37.043,276,R1,76086,NO,0,0,
11,-94.517,37.059,537,R2,130741,NO,0,0,
75,-94.517,37.074,645,R1,139646,YES,0,639,
50,-94.516,37.091,1155,Do_nothing,0,NO,0,0,
19,-94.516,37.051,782,R2,134005,NO,0,0,
99,-94.515,37.098,648,Do_nothing,0,NO,0,0,
72,-94.514,37.068,839,R3,291373,YES,0,683,
47,-94.512,37.06,438,R2,111344,NO,0,0,
49,-94.512,37.042,633,Do_nothing,0,NO,0,0,
77,-94.511,37.03,57,R2,27157,NO,0,0,
95,-94.511,37.082,262,R2,156209,NO,0,0,
98,-94.51,37.056,325,R3,253370,NO,0,0,
53,-94.51,37.075,705,R3,246237,YES,0,574,
65,-94.509,37.065,510,Do_nothing,0,NO,0,0,
63,-94.509,37.142,127,R3,34283,NO,0,0,
14,-94.508,37.12,584,R3,187009,NO,0,0,
23,-94.507,37.06,551,R2,215936,NO,0,0,
93,-94.507,37.112,537,R1,82531,NO,0,0,
28,-94.505,37.092,367,R3,313866,NO,0,0,
2,-94.505,37.072,883,R2,350290,YES,0,775,
81,-94.504,37.049,217,R2,82323,NO,0,0,
45,-94.503,37.04,288,R2,120511,NO,0,0,
88,-94.501,37.064,839,R2,177974,NO,0,0,
89,-94.501,37.078,239,R3,108310,YES,0,194,
25,-94.501,37.084,141,R1,36212,NO,0,0,
91,-94.499,37.093,403,R3,295099,NO,0,0,
43,-94.498,37.071,1224,R2,578092,YES,0,1071,
76,-94.495,37.051,1481,R1,172013,NO,0,0,
42,-94.495,37.059,1119,R2,213855,NO,0,0,
7,-94.494,37.039,391,R2,84797,NO,0,0,
17,-94.494,37.088,654,Do_nothing,0,NO,0,0,
