Budget :,0.0,Tornado Length:,25.0
Best Bound:,15974
Best Objective:,15974
Gap:,0.0
CCG Run time:,1570.33
CCG Iteration:,2
Subproblem Run time:,1570.01
Number of Subproblem Callbacks:,48
Subproblem Callbacks Run Time:,8.06
Number of Uncertainty Set Check Call:,0
Uncertainty Set Check Run Time:,0
Head of worst tornado:,-94.575,37.057
Tail of worst tornado:,-94.426,37.094

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recover,Recovery Cost,Dislocation
81,-94.584,37.071,56,Do_nothing,0,NO,0,0,0,
171,-94.578,37.059,45,Do_nothing,0,YES,0.0,0,45,
69,-94.572,37.059,389,Do_nothing,0,YES,0.0,0,385,
114,-94.57,37.069,185,Do_nothing,0,NO,0,0,0,
20,-94.57,37.062,320,Do_nothing,0,YES,0.0,0,317,
145,-94.566,37.077,75,Do_nothing,0,NO,0,0,0,
92,-94.566,37.096,96,Do_nothing,0,NO,0,0,0,
110,-94.562,37.053,210,Do_nothing,0,NO,0,0,0,
122,-94.559,37.062,124,Do_nothing,0,YES,0.0,0,123,
137,-94.558,37.045,43,Do_nothing,0,NO,0,0,0,
56,-94.556,37.052,168,Do_nothing,0,NO,0,0,0,
100,-94.556,37.067,251,Do_nothing,0,YES,0.0,0,249,
173,-94.554,37.071,251,Do_nothing,0,NO,0,0,0,
9,-94.553,37.077,171,Do_nothing,0,NO,0,0,0,
88,-94.552,37.099,49,Do_nothing,0,NO,0,0,0,
36,-94.552,37.06,507,Do_nothing,0,YES,0.0,0,502,
149,-94.551,37.094,170,Do_nothing,0,NO,0,0,0,
66,-94.551,37.066,189,Do_nothing,0,YES,0.0,0,187,
191,-94.55,37.075,210,Do_nothing,0,NO,0,0,0,
14,-94.548,37.093,308,Do_nothing,0,NO,0,0,0,
159,-94.547,37.066,200,Do_nothing,0,YES,0.0,0,198,
6,-94.546,37.056,263,Do_nothing,0,NO,0,0,0,
26,-94.544,37.081,178,Do_nothing,0,NO,0,0,0,
119,-94.544,37.089,344,Do_nothing,0,NO,0,0,0,
